ticker,company,avg_buy_price,target_price,invalidation_level,status,conviction,next_action,investment_thesis,buy_plan,sell_plan,risk_notes,last_note,updated_at
AMD,Advanced Micro Devices,121.69,250.0,,Hold,Medium,,,,,,,2026-03-23 11:21:43
AMZN,Amazon.com Inc,210.17,400.0,,,High,,,,,,,2026-03-19 15:47:45
