"date","ticker","company","transaction_type","quantity","price","currency","buy_fee","sell_fee","fx_fee","tax_fx_rate","tax_currency","broker","note"
"2026-01-14","CEZ","CEZ","sell","15","1353.00","CZK","0","0.0","0","","CZK","","Realizovano dle screenshotu"
"2024-10-15","LRCX","Lam Research Corp","buy","5","77.56","USD","2.00","0","0","","CZK","","Realizovano dle screenshotu"
"2026-01-14","LRCX","Lam Research Corp","sell","5","209.36","USD","0","4.25","0","","CZK","","Realizovano dle screenshotu"
"2024-10-16","DG","Dollar General","buy","14","80.60","USD","2.00","0","0","","CZK","","Realizovano dle screenshotu"
"2026-02-25","DG","Dollar General","sell","14","154.78","USD","0","6.59","0","","CZK","","Realizovano dle screenshotu"
"2024-11-18","BTG","B2Gold Corp","buy","100","2.75","USD","0.02","0","0","","CZK","","Realizovano dle screenshotu"
"2025-10-02","BTG","B2Gold Corp","sell","100","5.03","USD","0","0.0","0","","CZK","","Realizovano dle screenshotu"
"2024-11-18","BTG","B2Gold Corp","buy","20","2.75","USD","1.00","0","0","","CZK","","Realizovano dle screenshotu"
"2025-10-02","BTG","B2Gold Corp","sell","20","5.03","USD","0","0.0","0","","CZK","","Realizovano dle screenshotu"
"2025-01-02","AMD","Advanced Micro Devices","buy","4","121.69","USD","1.00","0","0","","CZK","","Realizovano dle screenshotu"
"2025-10-06","AMD","Advanced Micro Devices","sell","4","210.74","USD","0","0.0","0","","CZK","","Realizovano dle screenshotu"
"2025-01-27","ASML","ASML","buy","1","672.79","USD","0.50","0","0","","CZK","","Realizovano dle screenshotu"
"2025-10-07","ASML","ASML","sell","1","1021.63","USD","0","1.00","0","","CZK","","Realizovano dle screenshotu"
"2025-01-27","ASML","ASML","buy","1","672.79","USD","0.50","0","0","","CZK","","Realizovano dle screenshotu"
"2026-01-20","ASML","ASML","sell","1","1326.79","USD","0","0.35","0","","CZK","","Realizovano dle screenshotu"
"2024-11-18","BTG","B2Gold Corp","buy","150","2.75","USD","0.00","0","0","","CZK","","Realizovano dle screenshotu"
"2026-01-22","BTG","B2Gold Corp","sell","150","5.20","USD","0","0.34","0","","CZK","","Realizovano dle screenshotu"
"2024-11-18","BTG","B2Gold Corp","buy","130","2.75","USD","0.00","0","0","","CZK","","Realizovano dle screenshotu"
"2026-01-28","BTG","B2Gold Corp","sell","130","5.68","USD","0","0.51","0","","CZK","","Realizovano dle screenshotu"
